0.972976, 0.973190, 0.986413, 0.979757, 0.972537, 0.946542, 0.959363
0.977374, 0.976214, 0.990037, 0.983077, 0.979763, 0.952372, 0.965873
0.972585, 0.971178, 0.988026, 0.979530, 0.975511, 0.942086, 0.958507
0.973839, 0.971196, 0.989902, 0.980460, 0.979349, 0.942231, 0.960432
0.975957, 0.975729, 0.988298, 0.981973, 0.976422, 0.951719, 0.963912
0.990189, 0.991199, 0.994023, 0.992609, 0.988186, 0.982654, 0.985413
0.990808, 0.991791, 0.994342, 0.993065, 0.988867, 0.983889, 0.986372
0.989725, 0.990594, 0.993926, 0.992257, 0.988001, 0.981478, 0.984729
0.990405, 0.991769, 0.993802, 0.992784, 0.987693, 0.983688, 0.985687
0.990436, 0.991749, 0.993914, 0.992830, 0.987799, 0.983494, 0.985642
0.991798, 0.991963, 0.995674, 0.993815, 0.991473, 0.984214, 0.987830
0.991566, 0.992021, 0.995174, 0.993595, 0.990686, 0.984647, 0.987657
0.991411, 0.992628, 0.994373, 0.993500, 0.989036, 0.985659, 0.987345
0.993191, 0.995444, 0.994283, 0.994863, 0.988769, 0.991041, 0.989904
0.990405, 0.992601, 0.993060, 0.992831, 0.985962, 0.985040, 0.985500
